CustomerID,Lookalikes
C0001,"[('C0120', np.float64(0.9999999863980914)), ('C0102', np.float64(0.9999999700909556)), ('C0153', np.float64(0.9999999517366812))]"
C0002,"[('C0034', np.float64(0.9999999113804373)), ('C0176', np.float64(0.999999877736369)), ('C0030', np.float64(0.9999998762472673))]"
C0003,"[('C0031', np.float64(0.9999999713493515)), ('C0025', np.float64(0.999999925816807)), ('C0076', np.float64(0.9999999071299613))]"
C0004,"[('C0169', np.float64(0.9999999926262992)), ('C0165', np.float64(0.9999999836163164)), ('C0174', np.float64(0.9999999767394253))]"
C0005,"[('C0146', np.float64(0.9999999405460502)), ('C0028', np.float64(0.9999999374492478)), ('C0007', np.float64(0.9999999367645143))]"
C0006,"[('C0126', np.float64(0.9999999998071625)), ('C0171', np.float64(0.9999999961651772)), ('C0118', np.float64(0.9999999958529029))]"
C0007,"[('C0146', np.float64(0.9999999999398864)), ('C0114', np.float64(0.9999999619200217)), ('C0054', np.float64(0.9999999586145429))]"
C0008,"[('C0160', np.float64(0.9999999833233437)), ('C0038', np.float64(0.9999999717420458)), ('C0047', np.float64(0.9999999543188519))]"
C0009,"[('C0198', np.float64(0.9999999901629574)), ('C0061', np.float64(0.9999994344155438)), ('C0103', np.float64(0.9999993699209405))]"
C0010,"[('C0049', np.float64(0.9999996628853765)), ('C0091', np.float64(0.999999371886926)), ('C0111', np.float64(0.9999993641615729))]"
C0011,"[('C0153', np.float64(0.9999999935911742)), ('C0137', np.float64(0.9999999824729728)), ('C0087', np.float64(0.9999999813267634))]"
C0012,"[('C0153', np.float64(0.9999999803303015)), ('C0191', np.float64(0.9999999709010686)), ('C0011', np.float64(0.9999999680011462))]"
C0013,"[('C0099', np.float64(0.9999999915861797)), ('C0082', np.float64(0.9999999848150284)), ('C0171', np.float64(0.9999999821629825))]"
C0014,"[('C0010', np.float64(0.9999913883236659)), ('C0119', np.float64(0.9999913117105527)), ('C0172', np.float64(0.9999912929985303))]"
C0015,"[('C0131', np.float64(0.9999999283609394)), ('C0125', np.float64(0.9999998564225356)), ('C0139', np.float64(0.9999998221461823))]"
C0016,"[('C0042', np.float64(0.9999999714982044)), ('C0185', np.float64(0.999999965000933)), ('C0040', np.float64(0.9999999647654726))]"
C0017,"[('C0161', np.float64(0.9999999771342062)), ('C0124', np.float64(0.9999999714886582)), ('C0165', np.float64(0.9999999652678647))]"
C0018,"[('C0024', np.float64(0.9999999932056672)), ('C0156', np.float64(0.9999999922769393)), ('C0194', np.float64(0.9999999881421884))]"
C0019,"[('C0073', np.float64(0.9999999835325953)), ('C0075', np.float64(0.9999999288762139)), ('C0142', np.float64(0.9999998881984831))]"
C0020,"[('C0015', np.float64(0.9999993674235306)), ('C0026', np.float64(0.99999934794154)), ('C0035', np.float64(0.9999993258744518))]"
